freelancer_id,category,years_experience,projects_completed,activity_score,hourly_rate,client_satisfaction,response_time,performance_score,profile_type
1,Designer,15,166,94.47,68.69,74.9,43.79,67.35,Premium
2,Writer,7,25,81.14,54.29,67.22,47.51,57.77,Standard
3,Developer,15,220,97.3,65.29,82.37,49.09,68.79,Premium
4,Writer,11,101,96.63,40.7,99.12,59.38,66.38,Premium
5,Writer,3,25,47.98,30.3,60.11,71.2,30.23,Standard
6,Writer,1,1,54.85,26.83,72.67,68.88,45.62,Standard
7,Designer,8,53,93.47,49.26,84.43,52.83,54.55,Standard
8,Developer,7,27,73.29,32.56,74.68,60.41,50.05,Standard
9,Writer,6,30,80.09,44.29,76.05,56.11,53.01,Standard
10,Developer,15,91,100.0,69.72,87.99,32.74,74.9,Premium
11,Designer,12,87,100.0,60.56,79.89,41.18,65.34,Premium
12,Developer,11,149,100.0,58.67,82.8,50.16,60.18,Standard
13,Designer,11,78,95.31,45.45,58.35,33.29,57.76,Standard
14,Writer,1,8,68.26,18.25,76.17,63.61,44.28,Standard
15,Developer,15,136,100.0,49.75,76.1,22.9,65.84,Premium
16,Developer,15,83,100.0,57.82,83.94,34.15,72.96,Premium
17,Developer,13,64,100.0,58.96,92.21,23.75,84.99,Premium
18,Designer,11,110,100.0,48.62,93.51,58.22,70.72,Premium
19,Developer,8,51,95.71,45.72,83.72,53.19,71.96,Premium
20,Developer,3,34,45.67,29.53,61.44,52.58,31.95,Standard
21,Writer,11,121,93.32,32.4,67.52,55.71,61.11,Standard
22,Developer,15,41,100.0,62.32,81.8,44.53,76.2,Premium
23,Designer,4,25,53.84,35.41,64.76,72.55,35.98,Standard
24,Developer,2,15,49.44,22.13,67.37,75.47,32.03,Standard
25,Writer,15,198,100.0,69.64,91.05,43.69,70.24,Premium
26,Developer,13,120,98.16,53.57,72.3,42.4,67.72,Premium
27,Writer,13,73,93.45,58.48,87.02,45.66,72.53,Premium
28,Developer,8,52,52.6,51.59,76.84,68.25,42.38,Standard
29,Developer,9,46,62.25,36.19,85.98,55.41,52.55,Standard
30,Writer,5,55,71.51,41.09,78.65,61.29,44.58,Standard
31,Developer,11,40,97.84,53.1,72.76,30.88,68.14,Premium
32,Developer,11,111,79.72,53.31,84.38,64.04,57.49,Standard
33,Developer,13,48,91.53,62.75,80.68,51.64,65.36,Premium
34,Developer,7,25,92.88,48.9,72.63,58.58,66.79,Premium
35,Developer,6,19,92.54,12.87,78.71,68.75,53.87,Standard
36,Writer,5,59,65.62,25.87,74.99,57.99,50.46,Standard
37,Developer,4,30,60.94,24.61,72.74,74.89,46.42,Standard
38,Designer,13,65,100.0,69.93,100.0,36.66,89.35,Premium
39,Designer,10,48,83.84,56.21,77.39,49.98,59.53,Standard
40,Writer,9,74,92.35,39.27,81.32,52.06,56.27,Standard
41,Designer,9,131,87.08,56.63,84.72,61.36,64.32,Premium
42,Designer,10,93,80.76,69.17,68.64,54.86,58.16,Standard
43,Developer,13,69,100.0,67.84,76.43,60.46,83.35,Premium
44,Writer,7,12,57.42,37.99,66.46,64.8,46.75,Standard
45,Designer,7,80,79.31,42.41,69.69,74.08,51.36,Standard
46,Designer,1,5,46.77,33.03,69.72,56.55,39.38,Standard
47,Developer,9,41,63.68,53.23,78.15,75.36,49.09,Standard
48,Designer,15,187,100.0,56.1,71.26,49.15,61.14,Standard
49,Designer,7,39,76.98,42.2,83.31,53.54,60.86,Standard
50,Writer,2,21,44.24,20.78,82.06,70.11,27.14,Standard
51,Designer,9,46,100.0,61.2,78.9,60.39,69.71,Premium
52,Writer,12,73,100.0,65.07,66.09,43.44,66.99,Premium
53,Developer,3,12,81.04,21.71,71.79,77.84,50.66,Standard
54,Writer,11,127,86.56,48.55,68.33,54.07,58.57,Standard
55,Developer,13,159,100.0,64.08,83.29,45.95,77.85,Premium
56,Designer,9,38,70.77,45.04,93.39,40.01,56.18,Standard
57,Developer,4,26,46.99,44.16,72.54,63.51,35.23,Standard
58,Designer,12,99,81.28,62.88,77.76,48.94,55.54,Standard
59,Writer,13,145,100.0,59.41,92.77,61.95,66.4,Premium
60,Designer,2,1,20.26,40.26,81.92,83.15,33.4,Standard
61,Designer,3,33,60.3,43.2,83.89,71.87,49.07,Standard
62,Developer,1,11,35.93,24.49,69.19,74.87,21.27,Standard
63,Designer,15,119,100.0,73.04,87.28,44.13,83.16,Premium
64,Designer,3,5,65.45,19.63,67.05,58.79,43.3,Standard
65,Developer,10,25,100.0,54.01,81.77,57.61,74.04,Premium
66,Developer,6,59,86.79,34.07,73.24,56.87,51.05,Standard
67,Writer,4,61,37.61,31.8,84.08,62.17,41.91,Standard
68,Developer,7,26,82.31,40.38,98.26,39.5,72.41,Premium
69,Developer,3,23,25.6,23.08,74.41,53.6,26.45,Standard
70,Developer,13,71,100.0,54.76,89.05,48.33,62.07,Standard
71,Designer,7,47,80.33,32.44,78.44,39.73,57.8,Standard
72,Designer,3,46,54.36,28.43,66.99,63.21,42.93,Standard
73,Designer,12,153,92.98,57.97,86.38,41.64,61.39,Standard
74,Designer,13,81,100.0,56.81,82.52,52.85,76.5,Premium
75,Developer,4,54,62.1,42.47,81.45,66.27,47.89,Standard
76,Developer,10,59,100.0,52.22,91.35,47.52,66.71,Premium
77,Developer,2,7,40.61,7.59,81.52,79.86,29.27,Standard
78,Developer,14,193,100.0,64.25,82.58,49.72,67.0,Premium
79,Writer,13,35,100.0,68.1,91.21,44.02,81.87,Premium
80,Developer,3,11,71.68,21.2,70.36,59.35,41.89,Standard
81,Developer,3,18,49.84,25.24,76.24,68.21,42.53,Standard
82,Designer,2,2,49.55,14.02,77.26,74.16,25.75,Standard
83,Developer,12,129,90.86,57.16,75.37,42.43,65.84,Premium
84,Writer,4,37,68.33,43.29,63.09,79.2,45.24,Standard
85,Writer,8,84,100.0,43.19,87.86,53.31,68.92,Premium
86,Developer,15,153,100.0,55.46,97.07,40.38,68.18,Premium
87,Designer,13,116,91.69,53.27,84.11,51.1,74.26,Premium
88,Designer,2,10,50.94,31.85,66.81,52.62,32.87,Standard
89,Writer,9,43,71.43,39.25,90.75,58.61,50.89,Standard
90,Writer,7,38,83.71,42.71,81.12,59.01,62.23,Standard
91,Designer,10,136,100.0,52.94,71.3,55.73,61.07,Standard
92,Designer,5,44,73.73,37.36,76.47,67.73,59.71,Standard
93,Developer,2,12,50.62,30.89,67.8,71.59,37.99,Standard
94,Developer,4,10,53.86,33.0,68.79,67.98,36.63,Standard
95,Designer,4,1,43.64,43.32,54.31,64.09,35.23,Standard
96,Writer,6,80,67.05,48.35,79.73,70.21,52.72,Standard
97,Designer,15,166,90.74,63.23,82.62,46.93,69.93,Premium
98,Developer,14,140,100.0,51.94,79.24,46.45,63.56,Premium
99,Developer,11,59,94.5,58.42,71.54,45.43,64.56,Premium
100,Writer,11,158,100.0,44.64,75.0,59.4,68.39,Premium
101,Designer,12,83,93.29,50.62,77.54,49.44,64.28,Premium
102,Designer,15,90,100.0,69.61,87.75,42.82,76.91,Premium
103,Developer,9,99,100.0,52.86,93.74,58.0,73.07,Premium
104,Writer,4,43,56.08,27.34,59.34,69.87,33.01,Standard
105,Designer,10,136,87.39,47.18,79.11,61.54,64.98,Premium
106,Developer,12,90,92.79,54.5,92.59,23.39,70.25,Premium
107,Developer,10,128,95.32,47.34,76.45,58.9,56.77,Standard
108,Designer,12,94,100.0,54.32,85.95,54.62,73.55,Premium
109,Writer,14,54,100.0,67.3,80.91,52.87,70.95,Premium
110,Writer,5,37,68.96,21.31,84.67,61.95,48.41,Standard
111,Designer,13,183,97.98,54.4,78.23,50.39,65.95,Premium
112,Writer,12,175,100.0,45.11,81.38,56.9,65.78,Premium
